t,x1,y1,x2,y2,x3,y3
0.00000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.500000
0.01000,-1.000000,0.003000,1.000000,-0.003000,-0.003000,0.500000
0.02000,-1.000000,0.006000,1.000000,-0.006000,-0.006000,0.500000
0.03000,-1.000000,0.009000,1.000000,-0.009000,-0.009000,0.500000
0.04000,-1.000000,0.012000,1.000000,-0.012000,-0.012000,0.500000
0.05000,-1.000000,0.015000,1.000000,-0.015000,-0.015000,0.500000
0.06000,-1.000000,0.018000,1.000000,-0.018000,-0.018000,0.500000
0.07000,-1.000000,0.021000,1.000000,-0.021000,-0.021000,0.500000
0.08000,-1.000000,0.024000,1.000000,-0.024000,-0.024000,0.500000
0.09000,-1.000000,0.027000,1.000000,-0.027000,-0.027000,0.500000
0.10000,-1.000000,0.030000,1.000000,-0.030000,-0.030000,0.500000
0.11000,-1.000000,0.033000,1.000000,-0.033000,-0.033000,0.500000
0.12000,-1.000000,0.036000,1.000000,-0.036000,-0.036000,0.500000
0.13000,-1.000000,0.039000,1.000000,-0.039000,-0.039000,0.500000
0.14000,-1.000000,0.042000,1.000000,-0.042000,-0.042000,0.500000
0.15000,-1.000000,0.045000,1.000000,-0.045000,-0.045000,0.500000
0.16000,-1.000000,0.048000,1.000000,-0.048000,-0.048000,0.500000
0.17000,-1.000000,0.051000,1.000000,-0.051000,-0.051000,0.500000
0.18000,-1.000000,0.054000,1.000000,-0.054000,-0.054000,0.500000
0.19000,-1.000000,0.057000,1.000000,-0.057000,-0.057000,0.500000
0.20000,-1.000000,0.060000,1.000000,-0.060000,-0.060000,0.500000
0.21000,-1.000000,0.063000,1.000000,-0.063000,-0.063000,0.500000
0.22000,-1.000000,0.066000,1.000000,-0.066000,-0.066000,0.500000
0.23000,-1.000000,0.069000,1.000000,-0.069000,-0.069000,0.500000
0.24000,-1.000000,0.072000,1.000000,-0.072000,-0.072000,0.500000
0.25000,-1.000000,0.075000,1.000000,-0.075000,-0.075000,0.500000
0.26000,-1.000000,0.078000,1.000000,-0.078000,-0.078000,0.500000
0.27000,-1.000000,0.081000,1.000000,-0.081000,-0.081000,0.500000
0.28000,-1.000000,0.084000,1.000000,-0.084000,-0.084000,0.500000
0.29000,-1.000000,0.087000,1.000000,-0.087000,-0.087000,0.500000
0.30000,-1.000000,0.090000,1.000000,-0.090000,-0.090000,0.500000
0.31000,-1.000000,0.093000,1.000000,-0.093000,-0.093000,0.500000
0.32000,-1.000000,0.096000,1.000000,-0.096000,-0.096000,0.500000
0.33000,-1.000000,0.099000,1.000000,-0.099000,-0.099000,0.500000
0.34000,-1.000000,0.102000,1.000000,-0.102000,-0.102000,0.500000
0.35000,-1.000000,0.105000,1.000000,-0.105000,-0.105000,0.500000
0.36000,-1.000000,0.108000,1.000000,-0.108000,-0.108000,0.500000
0.37000,-1.000000,0.111000,1.000000,-0.111000,-0.111000,0.500000
0.38000,-1.000000,0.114000,1.000000,-0.114000,-0.114000,0.500000
0.39000,-1.000000,0.117000,1.000000,-0.117000,-0.117000,0.500000
0.40000,-1.000000,0.120000,1.000000,-0.120000,-0.120000,0.500000
0.41000,-1.000000,0.123000,1.000000,-0.123000,-0.123000,0.500000
0.42000,-1.000000,0.126000,1.000000,-0.126000,-0.126000,0.500000
0.43000,-1.000000,0.129000,1.000000,-0.129000,-0.129000,0.500000
0.44000,-1.000000,0.132000,1.000000,-0.132000,-0.132000,0.500000
0.45000,-1.000000,0.135000,1.000000,-0.135000,-0.135000,0.500000
0.46000,-1.000000,0.138000,1.000000,-0.138000,-0.138000,0.500000
0.47000,-1.000000,0.141000,1.000000,-0.141000,-0.141000,0.500000
0.48000,-1.000000,0.144000,1.000000,-0.144000,-0.144000,0.500000
0.49000,-1.000000,0.147000,1.000000,-0.147000,-0.147000,0.500000
0.50000,-1.000000,0.150000,1.000000,-0.150000,-0.150000,0.500000
0.51000,-1.000000,0.153000,1.000000,-0.153000,-0.153000,0.500000
0.52000,-1.000000,0.156000,1.000000,-0.156000,-0.156000,0.500000
0.53000,-1.000000,0.159000,1.000000,-0.159000,-0.159000,0.500000
0.54000,-1.000000,0.162000,1.000000,-0.162000,-0.162000,0.500000
0.55000,-1.000000,0.165000,1.000000,-0.165000,-0.165000,0.500000
0.56000,-1.000000,0.168000,1.000000,-0.168000,-0.168000,0.500000
0.57000,-1.000000,0.171000,1.000000,-0.171000,-0.171000,0.500000
0.58000,-1.000000,0.174000,1.000000,-0.174000,-0.174000,0.500000
0.59000,-1.000000,0.177000,1.000000,-0.177000,-0.177000,0.500000
0.60000,-1.000000,0.180000,1.000000,-0.180000,-0.180000,0.500000
0.61000,-1.000000,0.183000,1.000000,-0.183000,-0.183000,0.500000
0.62000,-1.000000,0.186000,1.000000,-0.186000,-0.186000,0.500000
0.63000,-1.000000,0.189000,1.000000,-0.189000,-0.189000,0.500000
0.64000,-1.000000,0.192000,1.000000,-0.192000,-0.192000,0.500000
0.65000,-1.000000,0.195000,1.000000,-0.195000,-0.195000,0.500000
0.66000,-1.000000,0.198000,1.000000,-0.198000,-0.198000,0.500000
0.67000,-1.000000,0.201000,1.000000,-0.201000,-0.201000,0.500000
0.68000,-1.000000,0.204000,1.000000,-0.204000,-0.204000,0.500000
0.69000,-1.000000,0.207000,1.000000,-0.207000,-0.207000,0.500000
0.70000,-1.000000,0.210000,1.000000,-0.210000,-0.210000,0.500000
0.71000,-1.000000,0.213000,1.000000,-0.213000,-0.213000,0.500000
0.72000,-1.000000,0.216000,1.000000,-0.216000,-0.216000,0.500000
0.73000,-1.000000,0.219000,1.000000,-0.219000,-0.219000,0.500000
0.74000,-1.000000,0.222000,1.000000,-0.222000,-0.222000,0.500000
0.75000,-1.000000,0.225000,1.000000,-0.225000,-0.225000,0.500000
0.76000,-1.000000,0.228000,1.000000,-0.228000,-0.228000,0.500000
0.77000,-1.000000,0.231000,1.000000,-0.231000,-0.231000,0.500000
0.78000,-1.000000,0.234000,1.000000,-0.234000,-0.234000,0.500000
0.79000,-1.000000,0.237000,1.000000,-0.237000,-0.237000,0.500000
0.80000,-1.000000,0.240000,1.000000,-0.240000,-0.240000,0.500000
0.81000,-1.000000,0.243000,1.000000,-0.243000,-0.243000,0.500000
0.82000,-1.000000,0.246000,1.000000,-0.246000,-0.246000,0.500000
0.83000,-1.000000,0.249000,1.000000,-0.249000,-0.249000,0.500000
0.84000,-1.000000,0.252000,1.000000,-0.252000,-0.252000,0.500000
0.85000,-1.000000,0.255000,1.000000,-0.255000,-0.255000,0.500000
0.86000,-1.000000,0.258000,1.000000,-0.258000,-0.258000,0.500000
0.87000,-1.000000,0.261000,1.000000,-0.261000,-0.261000,0.500000
0.88000,-1.000000,0.264000,1.000000,-0.264000,-0.264000,0.500000
0.89000,-1.000000,0.267000,1.000000,-0.267000,-0.267000,0.500000
0.90000,-1.000000,0.270000,1.000000,-0.270000,-0.270000,0.500000
0.91000,-1.000000,0.273000,1.000000,-0.273000,-0.273000,0.500000
0.92000,-1.000000,0.276000,1.000000,-0.276000,-0.276000,0.500000
0.93000,-1.000000,0.279000,1.000000,-0.279000,-0.279000,0.500000
0.94000,-1.000000,0.282000,1.000000,-0.282000,-0.282000,0.500000
0.95000,-1.000000,0.285000,1.000000,-0.285000,-0.285000,0.500000
0.96000,-1.000000,0.288000,1.000000,-0.288000,-0.288000,0.500000
0.97000,-1.000000,0.291000,1.000000,-0.291000,-0.291000,0.500000
0.98000,-1.000000,0.294000,1.000000,-0.294000,-0.294000,0.500000
0.99000,-1.000000,0.297000,1.000000,-0.297000,-0.297000,0.500000
1.00000,-1.000000,0.300000,1.000000,-0.300000,-0.300000,0.500000
1.01000,-1.000000,0.303000,1.000000,-0.303000,-0.303000,0.500000
1.02000,-1.000000,0.306000,1.000000,-0.306000,-0.306000,0.500000
1.03000,-1.000000,0.309000,1.000000,-0.309000,-0.309000,0.500000
1.04000,-1.000000,0.312000,1.000000,-0.312000,-0.312000,0.500000
1.05000,-1.000000,0.315000,1.000000,-0.315000,-0.315000,0.500000
1.06000,-1.000000,0.318000,1.000000,-0.318000,-0.318000,0.500000
1.07000,-1.000000,0.321000,1.000000,-0.321000,-0.321000,0.500000
1.08000,-1.000000,0.324000,1.000000,-0.324000,-0.324000,0.500000
1.09000,-1.000000,0.327000,1.000000,-0.327000,-0.327000,0.500000
1.10000,-1.000000,0.330000,1.000000,-0.330000,-0.330000,0.500000
1.11000,-1.000000,0.333000,1.000000,-0.333000,-0.333000,0.500000
1.12000,-1.000000,0.336000,1.000000,-0.336000,-0.336000,0.500000
1.13000,-1.000000,0.339000,1.000000,-0.339000,-0.339000,0.500000
1.14000,-1.000000,0.342000,1.000000,-0.342000,-0.342000,0.500000
1.15000,-1.000000,0.345000,1.000000,-0.345000,-0.345000,0.500000
1.16000,-1.000000,0.348000,1.000000,-0.348000,-0.348000,0.500000
1.17000,-1.000000,0.351000,1.000000,-0.351000,-0.351000,0.500000
1.18000,-1.000000,0.354000,1.000000,-0.354000,-0.354000,0.500000
1.19000,-1.000000,0.357000,1.000000,-0.357000,-0.357000,0.500000
1.20000,-1.000000,0.360000,1.000000,-0.360000,-0.360000,0.500000
1.21000,-1.000000,0.363000,1.000000,-0.363000,-0.363000,0.500000
1.22000,-1.000000,0.366000,1.000000,-0.366000,-0.366000,0.500000
1.23000,-1.000000,0.369000,1.000000,-0.369000,-0.369000,0.500000
1.24000,-1.000000,0.372000,1.000000,-0.372000,-0.372000,0.500000
1.25000,-1.000000,0.375000,1.000000,-0.375000,-0.375000,0.500000
1.26000,-1.000000,0.378000,1.000000,-0.378000,-0.378000,0.500000
1.27000,-1.000000,0.381000,1.000000,-0.381000,-0.381000,0.500000
1.28000,-1.000000,0.384000,1.000000,-0.384000,-0.384000,0.500000
1.29000,-1.000000,0.387000,1.000000,-0.387000,-0.387000,0.500000
1.30000,-1.000000,0.390000,1.000000,-0.390000,-0.390000,0.500000
1.31000,-1.000000,0.393000,1.000000,-0.393000,-0.393000,0.500000
1.32000,-1.000000,0.396000,1.000000,-0.396000,-0.396000,0.500000
1.33000,-1.000000,0.399000,1.000000,-0.399000,-0.399000,0.500000
1.34000,-1.000000,0.402000,1.000000,-0.402000,-0.402000,0.500000
1.35000,-1.000000,0.405000,1.000000,-0.405000,-0.405000,0.500000
1.36000,-1.000000,0.408000,1.000000,-0.408000,-0.408000,0.500000
1.37000,-1.000000,0.411000,1.000000,-0.411000,-0.411000,0.500000
1.38000,-1.000000,0.414000,1.000000,-0.414000,-0.414000,0.500000
1.39000,-1.000000,0.417000,1.000000,-0.417000,-0.417000,0.500000
1.40000,-1.000000,0.420000,1.000000,-0.420000,-0.420000,0.500000
1.41000,-1.000000,0.423000,1.000000,-0.423000,-0.423000,0.500000
1.42000,-1.000000,0.426000,1.000000,-0.426000,-0.426000,0.500000
1.43000,-1.000000,0.429000,1.000000,-0.429000,-0.429000,0.500000
1.44000,-1.000000,0.432000,1.000000,-0.432000,-0.432000,0.500000
1.45000,-1.000000,0.435000,1.000000,-0.435000,-0.435000,0.500000
1.46000,-1.000000,0.438000,1.000000,-0.438000,-0.438000,0.500000
1.47000,-1.000000,0.441000,1.000000,-0.441000,-0.441000,0.500000
1.48000,-1.000000,0.444000,1.000000,-0.444000,-0.444000,0.500000
1.49000,-1.000000,0.447000,1.000000,-0.447000,-0.447000,0.500000
1.50000,-1.000000,0.450000,1.000000,-0.450000,-0.450000,0.500000
1.51000,-1.000000,0.453000,1.000000,-0.453000,-0.453000,0.500000
1.52000,-1.000000,0.456000,1.000000,-0.456000,-0.456000,0.500000
1.53000,-1.000000,0.459000,1.000000,-0.459000,-0.459000,0.500000
1.54000,-1.000000,0.462000,1.000000,-0.462000,-0.462000,0.500000
1.55000,-1.000000,0.465000,1.000000,-0.465000,-0.465000,0.500000
1.56000,-1.000000,0.468000,1.000000,-0.468000,-0.468000,0.500000
1.57000,-1.000000,0.471000,1.000000,-0.471000,-0.471000,0.500000
1.58000,-1.000000,0.474000,1.000000,-0.474000,-0.474000,0.500000
1.59000,-1.000000,0.477000,1.000000,-0.477000,-0.477000,0.500000
1.60000,-1.000000,0.480000,1.000000,-0.480000,-0.480000,0.500000
1.61000,-1.000000,0.483000,1.000000,-0.483000,-0.483000,0.500000
1.62000,-1.000000,0.486000,1.000000,-0.486000,-0.486000,0.500000
1.63000,-1.000000,0.489000,1.000000,-0.489000,-0.489000,0.500000
1.64000,-1.000000,0.492000,1.000000,-0.492000,-0.492000,0.500000
1.65000,-1.000000,0.495000,1.000000,-0.495000,-0.495000,0.500000
1.66000,-1.000000,0.498000,1.000000,-0.498000,-0.498000,0.500000
1.67000,-1.000000,0.501000,1.000000,-0.501000,-0.501000,0.500000
1.68000,-1.000000,0.504000,1.000000,-0.504000,-0.504000,0.500000
1.69000,-1.000000,0.507000,1.000000,-0.507000,-0.507000,0.500000
1.70000,-1.000000,0.510000,1.000000,-0.510000,-0.510000,0.500000
1.71000,-1.000000,0.513000,1.000000,-0.513000,-0.513000,0.500000
1.72000,-1.000000,0.516000,1.000000,-0.516000,-0.516000,0.500000
1.73000,-1.000000,0.519000,1.000000,-0.519000,-0.519000,0.500000
1.74000,-1.000000,0.522000,1.000000,-0.522000,-0.522000,0.500000
1.75000,-1.000000,0.525000,1.000000,-0.525000,-0.525000,0.500000
1.76000,-1.000000,0.528000,1.000000,-0.528000,-0.528000,0.500000
1.77000,-1.000000,0.531000,1.000000,-0.531000,-0.531000,0.500000
1.78000,-1.000000,0.534000,1.000000,-0.534000,-0.534000,0.500000
1.79000,-1.000000,0.537000,1.000000,-0.537000,-0.537000,0.500000
1.80000,-1.000000,0.540000,1.000000,-0.540000,-0.540000,0.500000
1.81000,-1.000000,0.543000,1.000000,-0.543000,-0.543000,0.500000
1.82000,-1.000000,0.546000,1.000000,-0.546000,-0.546000,0.500000
1.83000,-1.000000,0.549000,1.000000,-0.549000,-0.549000,0.500000
1.84000,-1.000000,0.552000,1.000000,-0.552000,-0.552000,0.500000
1.85000,-1.000000,0.555000,1.000000,-0.555000,-0.555000,0.500000
1.86000,-1.000000,0.558000,1.000000,-0.558000,-0.558000,0.500000
1.87000,-1.000000,0.561000,1.000000,-0.561000,-0.561000,0.500000
1.88000,-1.000000,0.564000,1.000000,-0.564000,-0.564000,0.500000
1.89000,-1.000000,0.567000,1.000000,-0.567000,-0.567000,0.500000
1.90000,-1.000000,0.570000,1.000000,-0.570000,-0.570000,0.500000
1.91000,-1.000000,0.573000,1.000000,-0.573000,-0.573000,0.500000
1.92000,-1.000000,0.576000,1.000000,-0.576000,-0.576000,0.500000
1.93000,-1.000000,0.579000,1.000000,-0.579000,-0.579000,0.500000
1.94000,-1.000000,0.582000,1.000000,-0.582000,-0.582000,0.500000
1.95000,-1.000000,0.585000,1.000000,-0.585000,-0.585000,0.500000
1.96000,-1.000000,0.588000,1.000000,-0.588000,-0.588000,0.500000
1.97000,-1.000000,0.591000,1.000000,-0.591000,-0.591000,0.500000
1.98000,-1.000000,0.594000,1.000000,-0.594000,-0.594000,0.500000
1.99000,-1.000000,0.597000,1.000000,-0.597000,-0.597000,0.500000
2.00000,-1.000000,0.600000,1.000000,-0.600000,-0.600000,0.500000
2.01000,-1.000000,0.603000,1.000000,-0.603000,-0.603000,0.500000
2.02000,-1.000000,0.606000,1.000000,-0.606000,-0.606000,0.500000
2.03000,-1.000000,0.609000,1.000000,-0.609000,-0.609000,0.500000
2.04000,-1.000000,0.612000,1.000000,-0.612000,-0.612000,0.500000
2.05000,-1.000000,0.615000,1.000000,-0.615000,-0.615000,0.500000
2.06000,-1.000000,0.618000,1.000000,-0.618000,-0.618000,0.500000
2.07000,-1.000000,0.621000,1.000000,-0.621000,-0.621000,0.500000
2.08000,-1.000000,0.624000,1.000000,-0.624000,-0.624000,0.500000
2.09000,-1.000000,0.627000,1.000000,-0.627000,-0.627000,0.500000
2.10000,-1.000000,0.630000,1.000000,-0.630000,-0.630000,0.500000
2.11000,-1.000000,0.633000,1.000000,-0.633000,-0.633000,0.500000
2.12000,-1.000000,0.636000,1.000000,-0.636000,-0.636000,0.500000
2.13000,-1.000000,0.639000,1.000000,-0.639000,-0.639000,0.500000
2.14000,-1.000000,0.642000,1.000000,-0.642000,-0.642000,0.500000
2.15000,-1.000000,0.645000,1.000000,-0.645000,-0.645000,0.500000
2.16000,-1.000000,0.648000,1.000000,-0.648000,-0.648000,0.500000
2.17000,-1.000000,0.651000,1.000000,-0.651000,-0.651000,0.500000
2.18000,-1.000000,0.654000,1.000000,-0.654000,-0.654000,0.500000
2.19000,-1.000000,0.657000,1.000000,-0.657000,-0.657000,0.500000
2.20000,-1.000000,0.660000,1.000000,-0.660000,-0.660000,0.500000
2.21000,-1.000000,0.663000,1.000000,-0.663000,-0.663000,0.500000
2.22000,-1.000000,0.666000,1.000000,-0.666000,-0.666000,0.500000
2.23000,-1.000000,0.669000,1.000000,-0.669000,-0.669000,0.500000
2.24000,-1.000000,0.672000,1.000000,-0.672000,-0.672000,0.500000
2.25000,-1.000000,0.675000,1.000000,-0.675000,-0.675000,0.500000
2.26000,-1.000000,0.678000,1.000000,-0.678000,-0.678000,0.500000
2.27000,-1.000000,0.681000,1.000000,-0.681000,-0.681000,0.500000
2.28000,-1.000000,0.684000,1.000000,-0.684000,-0.684000,0.500000
2.29000,-1.000000,0.687000,1.000000,-0.687000,-0.687000,0.500000
2.30000,-1.000000,0.690000,1.000000,-0.690000,-0.690000,0.500000
2.31000,-1.000000,0.693000,1.000000,-0.693000,-0.693000,0.500000
2.32000,-1.000000,0.696000,1.000000,-0.696000,-0.696000,0.500000
2.33000,-1.000000,0.699000,1.000000,-0.699000,-0.699000,0.500000
2.34000,-1.000000,0.702000,1.000000,-0.702000,-0.702000,0.500000
2.35000,-1.000000,0.705000,1.000000,-0.705000,-0.705000,0.500000
2.36000,-1.000000,0.708000,1.000000,-0.708000,-0.708000,0.500000
2.37000,-1.000000,0.711000,1.000000,-0.711000,-0.711000,0.500000
2.38000,-1.000000,0.714000,1.000000,-0.714000,-0.714000,0.500000
2.39000,-1.000000,0.717000,1.000000,-0.717000,-0.717000,0.500000
2.40000,-1.000000,0.720000,1.000000,-0.720000,-0.720000,0.500000
2.41000,-1.000000,0.723000,1.000000,-0.723000,-0.723000,0.500000
2.42000,-1.000000,0.726000,1.000000,-0.726000,-0.726000,0.500000
